15	10	E	-9223384.010276219	163
emissionprobs	12	8	H3K9me3	0	0.9943077241887162
emissionprobs	12	8	H3K9me3	1	0.005692275811283871
emissionprobs	12	9	H4K20me1	0	0.9306208255741335
emissionprobs	12	9	H4K20me1	1	0.06937917442586654
emissionprobs	13	0	H3K27ac	0	0.253867486875522
emissionprobs	13	0	H3K27ac	1	0.7461325131244779
emissionprobs	13	1	H3K27me3	0	0.9998246935290159
emissionprobs	13	1	H3K27me3	1	1.753064709840605E-4
emissionprobs	13	2	H3K36me3	0	0.7498239827315696
emissionprobs	13	2	H3K36me3	1	0.25017601726843036
emissionprobs	13	3	H3K4me1	0	0.06486705937431134
emissionprobs	13	3	H3K4me1	1	0.9351329406256886
emissionprobs	13	4	H3K4me2	0	0.025621867369097155
emissionprobs	13	4	H3K4me2	1	0.9743781326309028
emissionprobs	13	5	H3K4me3	0	0.2638363174048801
emissionprobs	13	5	H3K4me3	1	0.73616368259512
emissionprobs	13	6	H3K79me2	0	0.036133706993299625
emissionprobs	13	6	H3K79me2	1	0.9638662930067005
emissionprobs	13	7	H3K9ac	0	0.1523812979313412
emissionprobs	13	7	H3K9ac	1	0.8476187020686589
emissionprobs	13	8	H3K9me3	0	0.9907208797493088
emissionprobs	13	8	H3K9me3	1	0.009279120250691273
emissionprobs	13	9	H4K20me1	0	0.8292731250602112
emissionprobs	13	9	H4K20me1	1	0.1707268749397887
emissionprobs	14	0	H3K27ac	0	0.9133812724361783
emissionprobs	14	0	H3K27ac	1	0.08661872756382166
emissionprobs	14	1	H3K27me3	0	0.9987406347359795
emissionprobs	14	1	H3K27me3	1	0.0012593652640205035
emissionprobs	14	2	H3K36me3	0	0.9895842575891951
emissionprobs	14	2	H3K36me3	1	0.01041574241080492
emissionprobs	14	3	H3K4me1	0	0.13544267290640474
emissionprobs	14	3	H3K4me1	1	0.8645573270935953
emissionprobs	14	4	H3K4me2	0	0.05536912706172837
emissionprobs	14	4	H3K4me2	1	0.9446308729382716
emissionprobs	14	5	H3K4me3	0	0.7920531646152623
emissionprobs	14	5	H3K4me3	1	0.20794683538473768
emissionprobs	14	6	H3K79me2	0	0.9832869414599628
emissionprobs	14	6	H3K79me2	1	0.016713058540037334
emissionprobs	14	7	H3K9ac	0	0.8474336015244589
emissionprobs	14	7	H3K9ac	1	0.15256639847554115
emissionprobs	14	8	H3K9me3	0	0.9942546103265589
emissionprobs	14	8	H3K9me3	1	0.00574538967344109
emissionprobs	14	9	H4K20me1	0	0.9944158419736903
emissionprobs	14	9	H4K20me1	1	0.005584158026309682
emissionprobs	15	0	H3K27ac	0	0.8840957989695504
emissionprobs	15	0	H3K27ac	1	0.11590420103044967
emissionprobs	15	1	H3K27me3	0	0.7449295296432605
emissionprobs	15	1	H3K27me3	1	0.2550704703567395
emissionprobs	15	2	H3K36me3	0	0.9975933625327758
emissionprobs	15	2	H3K36me3	1	0.00240663746722432
emissionprobs	15	3	H3K4me1	0	0.7966103599627903
emissionprobs	15	3	H3K4me1	1	0.2033896400372097
emissionprobs	15	4	H3K4me2	0	0.23540761615327
emissionprobs	15	4	H3K4me2	1	0.7645923838467299
emissionprobs	15	5	H3K4me3	0	0.561740258998618
emissionprobs	15	5	H3K4me3	1	0.438259741001382
emissionprobs	15	6	H3K79me2	0	0.9925781657028458
emissionprobs	15	6	H3K79me2	1	0.007421834297154194
emissionprobs	15	7	H3K9ac	0	0.9226650638030309
emissionprobs	15	7	H3K9ac	1	0.07733493619696907
emissionprobs	15	8	H3K9me3	0	0.972051585968066
emissionprobs	15	8	H3K9me3	1	0.027948414031934096
emissionprobs	15	9	H4K20me1	0	0.9845904469997383
emissionprobs	15	9	H4K20me1	1	0.015409553000261655
